g1_to_g3,g1_to_g2
101,98
101,98
101,98
89,98
105,98
101,98
101,98
101,98
101,98
101,98
101,98
93,98
79,98
93,98
105,98
101,98
101,98
95,98
101,98
89,98
101,98
101,98
101,98
91,98
101,98
93,98
101,98
105,98
101,98
101,98
101,98
101,98
105,98
89,98
91,98
89,98
101,98
105,98
101,98
89,98
95,98
101,98
101,98
101,98
101,98
101,98
91,98
97,98
99,98
93,98
97,98
101,98
101,98
101,98
101,98
97,98
101,98
101,98
101,98
93,98
101,98
101,98
93,98
101,98
101,98
101,98
101,98
101,98
101,98
97,98
89,98
105,98
95,98
91,98
105,98
101,98
89,98
101,98
95,98
101,98
101,98
91,98
101,98
101,98
101,98
101,98
105,98
91,98
101,98
105,98
95,98
101,98
101,98
101,98
95,98
101,98
101,98
105,98
101,98
105,98
91,98
105,98
101,98
91,98
101,98
101,98
101,98
91,98
105,98
101,98
105,98
101,98
105,98
99,98
93,98
91,98
101,98
101,98
105,98
101,98
101,98
101,98
101,98
105,98
101,98
93,98
101,98
97,98
101,98
101,98
101,98
101,98
101,98
101,98
105,98
105,98
101,98
95,98
101,98
105,98
101,98
101,98
105,98
101,98
97,98
93,98
101,98
101,98
99,98
101,98
97,98
101,98
101,98
105,98
101,98
101,98
101,98
101,98
99,98
95,98
93,98
101,98
91,98
91,98
93,98
101,98
101,98
101,98
91,98
101,98
101,98
101,98
101,98
93,98
101,98
101,98
101,98
89,98
95,98
101,98
101,98
101,98
105,98
101,98
91,98
101,98
101,98
93,98
101,98
101,98
95,98
105,98
93,98
105,98
91,98
101,98
101,98
101,98
93,98
101,98
101,98
101,98
93,98
93,98
101,98
101,98
101,98
101,98
101,98
99,98
107,98
105,98
99,98
105,98
101,98
95,98
93,98
89,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
89,98
101,98
101,98
101,98
95,98
101,98
101,98
101,98
91,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
99,98
105,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
73,98
105,98
105,98
101,98
105,98
101,98
101,98
105,98
101,98
101,98
101,98
101,98
91,98
101,98
101,98
101,98
95,98
93,98
95,98
99,98
101,98
101,98
91,98
101,98
101,98
101,98
101,98
93,98
101,98
95,98
101,98
101,98
99,98
101,98
105,98
101,98
101,98
95,98
101,98
101,98
93,98
91,98
91,98
91,98
95,98
101,98
105,98
101,98
93,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
105,98
91,98
101,98
101,98
101,98
101,98
93,98
101,98
101,98
101,98
101,98
101,98
101,98
95,98
101,98
101,98
101,98
101,98
95,98
101,98
101,98
95,98
101,98
101,98
101,98
105,98
99,98
101,98
105,98
101,98
101,98
101,98
101,98
101,98
89,98
101,98
99,98
105,98
93,98
95,98
101,98
89,98
101,98
105,98
101,98
105,98
105,98
101,98
101,98
93,98
105,98
105,98
101,98
91,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
105,98
101,98
89,98
101,98
95,98
101,98
101,98
89,98
99,98
89,98
101,98
101,98
87,98
101,98
101,98
95,98
101,98
101,98
101,98
91,98
101,98
89,98
93,98
91,98
91,98
101,98
101,98
101,98
105,98
101,98
101,98
97,98
101,98
101,98
101,98
99,98
105,98
105,98
95,98
99,98
101,98
101,98
101,98
91,98
97,98
101,98
91,98
101,98
101,98
97,98
101,98
101,98
91,98
101,98
101,98
101,98
101,98
101,98
101,98
95,98
105,98
105,98
101,98
101,98
97,98
99,98
101,98
91,98
101,98
101,98
105,98
95,98
101,98
101,98
101,98
95,98
101,98
101,98
91,98
101,98
101,98
105,98
101,98
101,98
95,98
91,98
101,98
101,98
101,98
89,98
91,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
99,98
95,98
101,98
99,98
101,98
105,98
101,98
101,98
101,98
79,98
97,98
101,98
105,98
101,98
101,98
89,98
101,98
101,98
101,98
105,98
93,98
95,98
101,98
101,98
79,98
101,98
101,98
93,98
81,98
105,98
101,98
101,98
101,98
101,98
95,98
101,98
101,98
99,98
91,98
93,98
99,98
101,98
93,98
101,98
97,98
101,98
101,98
89,98
101,98
101,98
95,98
101,98
101,98
101,98
101,98
101,98
101,98
101,98
97,98
101,98
101,98
93,98
101,98
105,98
101,98
97,98
101,98
101,98
101,98
99,98
