file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3364,8647,5602,0.578,0.004401,184,70,1.605263,1,4,1,21.673913,40,,,acyclic,8647,5602
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3370,8647,5602,0.620829,0.002816,184,66,1.550847,1,5,1,24.733696,44,,,pah,23880,8928
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3542,8647,5602,0.656701,0.004933,184,67,1.564103,1,4,1,28.733696,49,,,mao,14030,5323
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3500,8647,5602,0.486588,0.004417,184,68,1.577586,1,4,1,20.23913,43,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3409,8647,5602,0.463973,0.00408,184,73,1.648649,1,4,1,19.940217,34,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,18,3164,8647,5602,0.524566,0.003912,184,65,1.537815,1,4,1,14.380435,31,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,18,3255,8647,5602,0.583171,0.003901,184,71,1.619469,1,5,1,16.353261,35,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,18,3281,8647,5602,0.471206,0.004495,184,66,1.550847,1,4,1,21.798913,49,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,18,3241,8647,5602,0.461558,0.004364,184,70,1.605263,1,4,1,20.461957,37,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,18,3197,8647,5602,0.473396,0.004487,184,66,1.550847,1,4,1,19.896739,40,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,36,3062,8647,5602,0.911492,0.004058,184,72,1.633929,1,5,1,17.695652,30,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,36,3026,8647,5602,0.906171,0.00454,184,66,1.550847,1,4,1,17.043478,26,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,36,2984,8647,5602,1.100877,0.004756,184,63,1.512397,1,4,1,19.103261,35,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,36,3019,8647,5602,1.026878,0.004191,184,68,1.577586,1,4,1,18.13587,31,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,36,2998,8647,5602,0.951117,0.004407,184,66,1.550847,1,5,1,25.423913,45,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,36,2784,8647,5602,1.060905,0.004051,184,65,1.537815,1,4,1,12.548913,27,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,36,2849,8647,5602,0.913292,0.004219,184,65,1.537815,1,5,1,22.108696,39,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,36,2785,8647,5602,1.060488,0.004015,184,61,1.487805,1,5,1,15.576087,29,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,36,2933,8647,5602,1.145829,0.004584,184,67,1.564103,1,5,1,18.597826,37,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,36,2790,8647,5602,0.944207,0.003978,184,60,1.475806,1,5,1,14.88587,26,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2791,8647,5602,1.473527,0.003838,184,64,1.525,1,4,1,22.896739,40,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2879,8647,5602,1.76045,0.004124,184,63,1.512397,1,4,1,20.043478,37,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2795,8647,5602,1.616351,0.004355,184,59,1.464,1,4,1,15.13587,27,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2811,8647,5602,1.384384,0.00438,184,67,1.564103,1,4,1,17.788043,30,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2723,8647,5602,1.373708,0.004665,184,61,1.487805,1,5,1,20.119565,38,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,55,2622,8647,5602,1.385569,0.003908,184,66,1.550847,1,4,1,28.228261,50,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,55,2684,8647,5602,1.386157,0.004828,184,61,1.487805,1,4,1,18.336957,31,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,55,2598,8647,5602,1.405299,0.003609,184,67,1.564103,1,5,1,21.027174,35,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,55,2656,8647,5602,1.384926,0.003312,184,71,1.619469,1,4,1,23.298913,38,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,55,2656,8647,5602,1.398959,0.003752,184,72,1.633929,1,5,1,12.288043,23,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2682,8647,5602,1.843841,0.004544,184,66,1.550847,1,4,1,15.63587,27,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2642,8647,5602,1.956055,0.003635,184,66,1.550847,1,4,1,21.369565,35,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2741,8647,5602,2.100689,0.003842,184,55,1.418605,1,4,1,29.336957,47,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2627,8647,5602,2.111854,0.003678,184,72,1.633929,1,5,1,23.858696,43,,,,,
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2656,8647,5602,2.184654,0.004429,184,62,1.5,1,4,1,21.826087,37,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,73,2499,8647,5602,1.907603,0.004111,184,61,1.487805,1,6,1,19.755435,30,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,73,2437,8647,5602,1.947033,0.003559,184,59,1.464,1,4,1,20.505435,36,,,,,
acyclic,modified,false,branch_uniform,1,1,1,1,73,2499,8647,5602,2.228141,0.003557,184,57,1.440945,1,4,1,23.125,41,,,,,
