file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3508,8647,5602,0.254352,0.005722,184,65,1.537815,1,4,1,17.146739,32
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3394,8647,5602,0.211579,0.003552,184,71,1.619469,1,6,1,15.777174,29
acyclic,traditional,true,branch_uniform,1,1,1,1,18,3371,8647,5602,0.236837,0.003822,184,66,1.550847,1,4,1,16.445652,27
acyclic,modified,false,branch_uniform,1,1,1,1,18,3243,8647,5602,0.184835,0.003454,184,67,1.564103,1,4,1,21.500000,36
acyclic,modified,false,branch_uniform,1,1,1,1,18,3246,8647,5602,0.235309,0.003145,184,64,1.525000,1,4,1,22.451087,42
acyclic,modified,false,branch_uniform,1,1,1,1,18,3194,8647,5602,0.236884,0.003212,184,68,1.577586,1,4,1,16.255435,30
acyclic,traditional,true,branch_uniform,1,1,1,1,36,3035,8647,5602,0.478092,0.017732,184,65,1.537815,1,4,1,13.717391,30
acyclic,traditional,true,branch_uniform,1,1,1,1,36,3057,8647,5602,0.350533,0.003349,184,64,1.525000,1,4,1,22.554348,38
acyclic,traditional,true,branch_uniform,1,1,1,1,36,3056,8647,5602,0.733437,0.003527,184,71,1.619469,1,5,1,20.119565,32
acyclic,modified,false,branch_uniform,1,1,1,1,36,2769,8647,5602,0.829731,0.003929,184,72,1.633929,1,5,1,14.320652,25
acyclic,modified,false,branch_uniform,1,1,1,1,36,2841,8647,5602,0.782844,0.003682,184,70,1.605263,1,4,1,19.135870,34
acyclic,modified,false,branch_uniform,1,1,1,1,36,2918,8647,5602,0.780224,0.003961,184,79,1.742857,1,4,1,11.739130,20
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2778,8647,5602,1.200643,0.003675,184,58,1.452381,1,5,1,30.940217,47
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2834,8647,5602,1.184813,0.003710,184,68,1.577586,1,4,1,12.141304,21
acyclic,traditional,true,branch_uniform,1,1,1,1,55,2770,8647,5602,1.178461,0.004548,184,65,1.537815,1,4,1,18.250000,30
acyclic,modified,false,branch_uniform,1,1,1,1,55,2665,8647,5602,0.973114,0.003786,184,75,1.678899,1,4,1,15.945652,29
acyclic,modified,false,branch_uniform,1,1,1,1,55,2599,8647,5602,0.887045,0.003219,184,65,1.537815,1,5,1,19.804348,32
acyclic,modified,false,branch_uniform,1,1,1,1,55,2634,8647,5602,0.943807,0.003900,184,62,1.500000,1,4,1,17.755435,32
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2613,8647,5602,1.420843,0.022808,184,69,1.591304,1,5,1,15.516304,28
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2662,8647,5602,1.271377,0.003610,184,68,1.577586,1,4,1,24.733696,44
acyclic,traditional,true,branch_uniform,1,1,1,1,73,2643,8647,5602,1.281093,0.003877,184,67,1.564103,1,5,1,16.201087,31
acyclic,modified,false,branch_uniform,1,1,1,1,73,2524,8647,5602,1.226082,0.005195,184,62,1.500000,1,4,1,17.010870,37
acyclic,modified,false,branch_uniform,1,1,1,1,73,2466,8647,5602,0.699647,0.003948,184,61,1.487805,1,4,1,24.500000,37
acyclic,modified,false,branch_uniform,1,1,1,1,73,2484,8647,5602,0.609733,0.004007,184,61,1.487805,1,4,1,32.456522,53
