file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,4336,412804,3078719,807397,5293.569465,0.765427,4338,1671,1.626172,1,6,1,90.571692,162
file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
AIDS,traditional,true,branch_uniform,1,7,1,1,150,199556,506543,239671,41.118327,0.063253,1501,732,1.950585,1,118,118,41.607595,74
AIDS,traditional,true,branch_uniform,1,7,1,1,150,198957,506543,239671,40.881792,0.069100,1501,694,1.858736,1,120,120,33.060626,79
AIDS,modified,false,branch_uniform,1,7,1,1,150,199734,506543,239671,62.510677,0.055694,1501,739,1.968504,1,70,70,41.068621,83
AIDS,modified,false,branch_uniform,1,7,1,1,150,197253,506543,239671,33.451898,0.055327,1501,712,1.901141,1,68,68,45.220520,97
file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth
AIDS,traditional,true,branch_uniform,1,7,1,1,150,199647,506543,239671,47.499853,0.056406,1501,710,1.896334,1,126,126,28.692871,67
AIDS,modified,false,branch_uniform,1,7,1,1,150,197188,506543,239671,47.414625,0.050081,1501,691,1.851852,1,63,63,34.564957,63
AIDS,traditional,true,branch_uniform,1,7,1,1,300,182659,506543,239671,87.881111,0.062287,1501,657,1.777251,1,62,62,57.806129,101
AIDS,modified,false,branch_uniform,1,7,1,1,300,180354,506543,239671,80.135417,0.084156,1501,656,1.775148,1,15,15,42.856762,89
AIDS,traditional,true,branch_uniform,1,7,1,1,450,169927,506543,239671,127.489639,0.077575,1501,644,1.750292,1,40,40,27.973351,82
AIDS,modified,false,branch_uniform,1,7,1,1,450,170911,506543,239671,107.624367,0.063325,1501,657,1.777251,1,16,11,60.956029,111
AIDS,traditional,true,branch_uniform,1,7,1,1,600,164738,506543,239671,167.537414,0.061798,1501,624,1.710376,1,30,30,45.000000,90
AIDS,modified,false,branch_uniform,1,7,1,1,600,163056,506543,239671,146.608495,0.046538,1501,628,1.718213,1,15,7,33.186542,63
AIDS,traditional,true,branch_uniform,1,7,1,1,750,160182,506543,239671,225.572718,0.064555,1501,636,1.734104,1,24,24,46.500999,88
AIDS,modified,false,branch_uniform,1,7,1,1,750,158896,506543,239671,226.292037,0.059260,1501,620,1.702611,1,21,6,41.221186,77
AIDS,traditional,true,branch_uniform,1,7,1,1,900,157916,506543,239671,237.866590,0.066148,1501,611,1.685393,1,21,21,46.427049,98
AIDS,modified,false,branch_uniform,1,7,1,1,900,154731,506543,239671,271.314232,0.050758,1501,603,1.670379,1,12,4,39.275816,66
AIDS,traditional,true,branch_uniform,1,7,1,1,1050,154949,506543,239671,312.144048,0.064069,1501,629,1.720183,1,19,18,48.399067,82
AIDS,modified,false,branch_uniform,1,7,1,1,1050,152056,506543,239671,293.582377,0.082994,1501,626,1.714286,1,20,5,45.421053,87
AIDS,traditional,true,branch_uniform,1,7,1,1,1200,152746,506543,239671,362.763682,0.073188,1501,602,1.668521,1,17,13,47.581612,94
AIDS,modified,false,branch_uniform,1,7,1,1,1200,150737,506543,239671,330.286746,0.069145,1501,593,1.651982,1,14,4,50.081945,84
AIDS,traditional,true,branch_uniform,1,7,1,1,1350,151789,506543,239671,384.988821,0.072731,1501,615,1.693002,1,16,11,64.449034,102
AIDS,modified,false,branch_uniform,1,7,1,1,1350,149705,506543,239671,367.574863,0.081661,1501,611,1.685393,1,16,4,45.273151,80
AIDS,traditional,true,branch_uniform,1,7,1,1,1499,151158,506543,239671,458.249212,0.075977,1501,641,1.744186,1,17,10,46.432378,96
AIDS,modified,false,branch_uniform,1,7,1,1,1499,148916,506543,239671,417.043889,0.077445,1501,622,1.706485,1,13,4,31.237175,84
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,433,563300,3078719,807397,494.276457,0.666343,4338,1795,1.705466,1,7,1,81.553250,136
Mutagenicity,modified,false,branch_uniform,2,1,1,1,433,537483,3078719,807397,479.551829,0.644931,4338,1775,1.692158,1,8,1,82.653757,143
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,867,510722,3078719,807397,1048.987236,0.678165,4338,1770,1.688863,1,6,1,87.030890,175
Mutagenicity,modified,false,branch_uniform,2,1,1,1,867,489989,3078719,807397,1026.910586,0.646725,4338,1785,1.698786,1,8,1,73.779161,160
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,1301,485847,3078719,807397,1498.314220,0.716301,4338,1784,1.698121,1,9,1,79.661595,156
Mutagenicity,modified,false,branch_uniform,2,1,1,1,1301,458921,3078719,807397,1479.551329,0.724540,4338,1759,1.681660,1,8,1,89.910558,154
Mutagenicity,traditional,true,branch_uniform,2,1,1,1,1735,464774,3078719,807397,2061.575580,0.797080,4338,1752,1.677108,1,9,1,83.339788,151
Mutagenicity,modified,false,branch_uniform,2,1,1,1,1735,438810,3078719,807397,1920.475101,0.727692,4338,1757,1.680356,1,9,1,127.664822,212
